NIVEL,PUNTUAL,FALTA,CONTENIDOS,CALIFICACION,campus
Secundaria Anual,5,NO,5,8,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,4,NO,3,8,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,3,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,7,Coatzacoalcos
Secundaria Anual,5,NO,3,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,4,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Veracruz/Boca del Río
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,10,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,4,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,6,Coatzacoalcos
Bachillerato Semestral ,2,NO,2,6,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,2,NO,2,7,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,1,3,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,10,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,6,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,6,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,6,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,1,5,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,3,NO,2,4,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
